cantica;canto;range_versi;frase
Inferno;I;​61-63;Mentre ch'i' rovinava in basso loco, dinanzi a li occhi mi si fu offerto chi per lungo silenzio parea fioco.
Inferno;I;​64-66;"Quando vidi costui nel gran diserto, ""miserere di me"", gridai a lui, ""qual che tu sii, od ombra od omo certo!""."
Inferno;I;​67;Rispuosemi:
Inferno;I;​67-69;"""Non omo, omo già fui, e li parenti miei furon lombardi, mantoani per patrïa ambedui."
Inferno;I;​70-72;Nacqui sub Iulio, ancor che fosse tardi, e vissi a Roma sotto 'l buono Augusto nel tempo de li dèi falsi e bugiardi.
Inferno;I;​73-75;Poeta fui, e cantai di quel giusto figliuol d'Anchise che venne di Troia, poi che 'l superbo Ilïón fu combusto.
Inferno;I;​76;Ma tu perché ritorni a tanta noia?
Inferno;I;​77-78;perché non sali il dilettoso monte ch'è principio e cagion di tutta gioia?
Inferno;I;​79-80;"""Or se' tu quel Virgilio e quella fonte che spandi di parlar sì largo fiume?"
Inferno;I;​80-81;""", rispuos'io lui con vergognosa fronte."
Inferno;I;​82-84;"""O de li altri poeti onore e lume, vagliami 'l lungo studio e 'l grande amore che m'ha fatto cercar lo tuo volume."
Inferno;I;​85-87;Tu se' lo mio maestro e 'l mio autore, tu se' solo colui da cu' io tolsi lo bello stilo che m'ha fatto onore.
Inferno;I;​88;"Vedi la bestia per cu' io mi volsi;"
Inferno;I;​89-90;"aiutami da lei, famoso saggio, ch'ella mi fa tremar le vene e i polsi""."
Inferno;I;​91-93;"""A te convien tenere altro vïaggio"", rispuose, poi che lagrimar mi vide, ""se vuo' campar d'esto loco selvaggio;"
Inferno;I;​94-96;"ché questa bestia, per la qual tu gride, non lascia altrui passar per la sua via, ma tanto lo 'mpedisce che l'uccide;"
Inferno;I;​97-99;e ha natura sì malvagia e ria, che mai non empie la bramosa voglia, e dopo 'l pasto ha più fame che pria.
Inferno;I;​100-102;Molti son li animali a cui s'ammoglia, e più saranno ancora, infin che 'l veltro verrà, che la farà morir con doglia.
Inferno;I;​103-105;Questi non ciberà terra né peltro, ma sapïenza, amore e virtute, e sua nazion sarà tra feltro e feltro.
Inferno;I;​106-108;Di quella umile Italia fia salute per cui morì la vergine Cammilla, Eurialo e Turno e Niso di ferute.
Inferno;I;​109-111;Questi la caccerà per ogne villa, fin che l'avrà rimessa ne lo 'nferno, là onde 'nvidia prima dipartilla.
Inferno;I;​112-114;"Ond'io per lo tuo me' penso e discerno che tu mi segui, e io sarò tua guida, e trarrotti di qui per loco etterno;"
Inferno;I;​115-117;"ove udirai le disperate strida, vedrai li antichi spiriti dolenti, ch'a la seconda morte ciascun grida;"
Inferno;I;​118-120;e vederai color che son contenti nel foco, perché speran di venire quando che sia a le beate genti.
Inferno;I;​121-122;A le quai poi se tu vorrai salire, anima fia a ciò più di me degna:
Inferno;I;​123;"con lei ti lascerò nel mio partire;"
Inferno;I;​124-126;ché quello imperador che là sù regna, perch'i' fu' ribellante a la sua legge, non vuol che 'n sua città per me si vegna.
Inferno;I;​127;"In tutte parti impera e quivi regge;"
Inferno;I;​128;quivi è la sua città e l'alto seggio:
Inferno;I;​129;"oh felice colui cu' ivi elegge!""."
Inferno;I;​130;E io a lui:
Inferno;I;​130-135;"""Poeta, io ti richeggio per quello Dio che tu non conoscesti, acciò ch'io fugga questo male e peggio, che tu mi meni là dov'or dicesti, sì ch'io veggia la porta di san Pietro e color cui tu fai cotanto mesti""."
Inferno;I;​136;Allor si mosse, e io li tenni dietro.
Inferno;II;​1-3;"Lo giorno se n'andava, e l'aere bruno toglieva li animai che sono in terra da le fatiche loro;"
Inferno;II;​3-6;e io sol uno m'apparecchiava a sostener la guerra sì del cammino e sì de la pietate, che ritrarrà la mente che non erra.
Inferno;II;​7;"O muse, o alto ingegno, or m'aiutate;"
Inferno;II;​8-9;o mente che scrivesti ciò ch'io vidi, qui si parrà la tua nobilitate.
Inferno;II;​10;Io cominciai:
Inferno;II;​10-12;"""Poeta che mi guidi, guarda la mia virtù s'ell'è possente, prima ch'a l'alto passo tu mi fidi."
Inferno;II;​13-15;Tu dici che di Silvïo il parente, corruttibile ancora, ad immortale secolo andò, e fu sensibilmente.
Inferno;II;​16-19;"Però, se l'avversario d'ogne male cortese i fu, pensando l'alto effetto ch'uscir dovea di lui, e 'l chi e 'l quale non pare indegno ad omo d'intelletto;"
Inferno;II;​20-21;ch'e' fu de l'alma Roma e di suo impero ne l'empireo ciel per padre eletto:
Inferno;II;​22-24;la quale e 'l quale, a voler dir lo vero, fu stabilita per lo loco santo u' siede il successor del maggior Piero.
Inferno;II;​25-27;Per quest'andata onde li dai tu vanto, intese cose che furon cagione di sua vittoria e del papale ammanto.
Inferno;II;​28-30;Andovvi poi lo Vas d'elezïone, per recarne conforto a quella fede ch'è principio a la via di salvazione.
Inferno;II;​31;Ma io, perché venirvi?
Inferno;II;​31;o chi 'l concede?
Inferno;II;​32;"Io non Enëa, io non Paulo sono;"
Inferno;II;​33;me degno a ciò né io né altri 'l crede.
Inferno;II;​34-35;Per che, se del venire io m'abbandono, temo che la venuta non sia folle.
Inferno;II;​36;"Se' savio; intendi me' ch'i' non ragiono""."
Inferno;II;​37-42;E qual è quei che disvuol ciò che volle e per novi pensier cangia proposta, sì che dal cominciar tutto si tolle, tal mi fec'ïo 'n quella oscura costa, perché, pensando, consumai la 'mpresa che fu nel cominciar cotanto tosta.
Inferno;II;​43-45;"""S'i' ho ben la parola tua intesa"", rispuose del magnanimo quell'ombra, ""l'anima tua è da viltade offesa;"
Inferno;II;​46-48;la qual molte fïate l'omo ingombra sì che d'onrata impresa lo rivolve, come falso veder bestia quand'ombra.
Inferno;II;​49-51;Da questa tema acciò che tu ti solve, dirotti perch'io venni e quel ch'io 'ntesi nel primo punto che di te mi dolve.
Inferno;II;​52-54;Io era tra color che son sospesi, e donna mi chiamò beata e bella, tal che di comandare io la richiesi.
Inferno;II;​55;"Lucevan li occhi suoi più che la stella;"
Inferno;II;​56-57;e cominciommi a dir soave e piana, con angelica voce, in sua favella:
Inferno;II;​58-63;"""O anima cortese mantoana, di cui la fama ancor nel mondo dura, e durerà quanto 'l mondo lontana, l'amico mio, e non de la ventura, ne la diserta piaggia è impedito sì nel cammin, che vòlt'è per paura;"
Inferno;II;​64-66;e temo che non sia già sì smarrito, ch'io mi sia tardi al soccorso levata, per quel ch'i' ho di lui nel cielo udito.
Inferno;II;​67-69;Or movi, e con la tua parola ornata e con ciò c'ha mestieri al suo campare, l'aiuta sì ch'i' ne sia consolata.
Inferno;II;​70;"I' son Beatrice che ti faccio andare;"
Inferno;II;​71;"vegno del loco ove tornar disio;"
Inferno;II;​72;amor mi mosse, che mi fa parlare.
Inferno;II;​73-74;"Quando sarò dinanzi al segnor mio, di te mi loderò sovente a lui""."
Inferno;II;​75;Tacette allora, e poi comincia' io:
Inferno;II;​76-80;"""O donna di virtù, sola per cui l'umana spezie eccede ogne contento di quel ciel c'ha minor li cerchi sui, tanto m'aggrada il tuo comandamento, che l'ubidir, se già fosse, m'è tardi;"
Inferno;II;​81;più non t'è uo' ch'aprirmi il tuo talento.
Inferno;II;​82-84;"Ma dimmi la cagion che non ti guardi de lo scender qua giuso in questo centro de l'ampio loco ove tornar tu ardi""."
Inferno;II;​85-87;"""Da che tu vuo' saver cotanto a dentro, dirotti brievemente"", mi rispuose, ""perch'i' non temo di venir qua entro."
Inferno;II;​88-89;"Temer si dee di sole quelle cose c'hanno potenza di fare altrui male;"
Inferno;II;​90;de l'altre no, ché non son paurose.
Inferno;II;​91-93;I' son fatta da Dio, sua mercé, tale, che la vostra miseria non mi tange, né fiamma d'esto 'ncendio non m'assale.
Inferno;II;​94-96;Donna è gentil nel ciel che si compiange di questo 'mpedimento ov'io ti mando, sì che duro giudicio là sù frange.
Inferno;II;​97-98;Questa chiese Lucia in suo dimando e disse:
Inferno;II;​98-99;- Or ha bisogno il tuo fedele di te, e io a te lo raccomando -.
Inferno;II;​100-102;Lucia, nimica di ciascun crudele, si mosse, e venne al loco dov'i' era, che mi sedea con l'antica Rachele.
Inferno;II;​103;Disse:
Inferno;II;​103-105;- Beatrice, loda di Dio vera, ché non soccorri quei che t'amò tanto, ch'uscì per te de la volgare schiera?
Inferno;II;​106-108;Non odi tu la pieta del suo pianto, non vedi tu la morte che 'l combatte su la fiumana ove 'l mar non ha vanto?
Inferno;II;​108-114;"- Al mondo non fur mai persone ratte a far lor pro o a fuggir lor danno, com'io, dopo cotai parole fatte, venni qua giù del mio beato scanno, fidandomi del tuo parlare onesto, ch'onora te e quei ch'udito l'hanno""."
Inferno;II;​115-117;Poscia che m'ebbe ragionato questo, li occhi lucenti lagrimando volse, per che mi fece del venir più presto.
Inferno;II;​118;E venni a te così com'ella volse:
Inferno;II;​119-120;d'inanzi a quella fiera ti levai che del bel monte il corto andar ti tolse.
Inferno;II;​121;Dunque:
Inferno;II;​121;che è?
Inferno;II;​121-126;perché, perché restai, perché tanta viltà nel core allette, perché ardire e franchezza non hai, poscia che tai tre donne benedette curan di te ne la corte del cielo, e 'l mio parlar tanto ben ti promette?
Inferno;II;​127-132;Quali fioretti dal notturno gelo chinati e chiusi, poi che 'l sol li 'mbianca, si drizzan tutti aperti in loro stelo, tal mi fec'io di mia virtude stanca, e tanto buono ardire al cor mi corse, ch'i' cominciai come persona franca:
Inferno;II;​133;"""Oh pietosa colei che mi soccorse!"
Inferno;II;​134-135;e te cortese ch'ubidisti tosto a le vere parole che ti porse!
Inferno;II;​136-138;Tu m'hai con disiderio il cor disposto sì al venir con le parole tue, ch'i' son tornato nel primo proposto.
Inferno;II;​139;Or va, ch'un sol volere è d'ambedue:
Inferno;II;​140;"tu duca, tu segnore e tu maestro""."
Inferno;II;​141;"Così li dissi;"
Inferno;II;​141-142;e poi che mosso fue, intrai per lo cammino alto e silvestro.
Inferno;III;​1-3;"""Per me si va ne la città dolente, per me si va ne l'etterno dolore, per me si va tra la perduta gente."
Inferno;III;​4;"Giustizia mosse il mio alto fattore;"
Inferno;III;​5-6;fecemi la divina podestate, la somma sapïenza e 'l primo amore.
Inferno;III;​7-8;Dinanzi a me non fuor cose create se non etterne, e io etterno duro.
Inferno;III;​9;"Lasciate ogne speranza, voi ch'intrate""."
Inferno;III;​10-11;"Queste parole di colore oscuro vid'ïo scritte al sommo di una porta;"
Inferno;III;​12;per ch'io:
Inferno;III;​12;"""Maestro, il senso lor m'è duro""."
Inferno;III;​13;Ed elli a me, come persona accorta:
Inferno;III;​14;"""Qui si convien lasciare ogne sospetto;"
Inferno;III;​15;ogne viltà convien che qui sia morta.
Inferno;III;​16-18;"Noi siam venuti al loco ov'i' t'ho detto che tu vedrai le genti dolorose c'hanno perduto il ben de l'intelletto""."
Inferno;III;​19-21;E poi che la sua mano a la mia puose con lieto volto, ond'io mi confortai, mi mise dentro a le segrete cose.
Inferno;III;​22-24;Quivi sospiri, pianti e alti guai risonavan per l'aere sanza stelle, per ch'io al cominciar ne lagrimai.
Inferno;III;​25-30;Diverse lingue, orribili favelle, parole di dolore, accenti d'ira, voci alte e fioche, e suon di man con elle facevano un tumulto, il qual s'aggira sempre in quell'aura sanza tempo tinta, come la rena quando turbo spira.
Inferno;III;​31-32;E io ch'avea d'error la testa cinta, dissi:
Inferno;III;​32;"""Maestro, che è quel ch'i' odo?"
Inferno;III;​33;e che gent'è che par nel duol sì vinta?
Inferno;III;​34;Ed elli a me:
Inferno;III;​34-36;"""Questo misero modo tegnon l'anime triste di coloro che visser sanza 'nfamia e sanza lodo."
Inferno;III;​37-39;Mischiate sono a quel cattivo coro de li angeli che non furon ribelli né fur fedeli a Dio, ma per sé fuoro.
Inferno;III;​40-42;"Caccianli i ciel per non esser men belli, né lo profondo inferno li riceve, ch'alcuna gloria i rei avrebber d'elli""."
Inferno;III;​43;E io:
Inferno;III;​43-44;"""Maestro, che è tanto greve a lor che lamentar li fa sì forte?""."
Inferno;III;​45;Rispuose:
Inferno;III;​45;"""Dicerolti molto breve."
Inferno;III;​46-48;Questi non hanno speranza di morte, e la lor cieca vita è tanto bassa, che 'nvidïosi son d'ogne altra sorte.
Inferno;III;​49;"Fama di loro il mondo esser non lassa;"
Inferno;III;​50;misericordia e giustizia li sdegna:
Inferno;III;​51;"non ragioniam di lor, ma guarda e passa""."
Inferno;III;​52-54;"E io, che riguardai, vidi una 'nsegna che girando correva tanto ratta, che d'ogne posa mi parea indegna;"
Inferno;III;​55-57;e dietro le venìa sì lunga tratta di gente, ch'i' non averei creduto che morte tanta n'avesse disfatta.
Inferno;III;​58-60;Poscia ch'io v'ebbi alcun riconosciuto, vidi e conobbi l'ombra di colui che fece per viltade il gran rifiuto.
Inferno;III;​61-63;Incontanente intesi e certo fui che questa era la setta d'i cattivi, a Dio spiacenti e a' nemici sui.
Inferno;III;​64-66;Questi sciaurati, che mai non fur vivi, erano ignudi e stimolati molto da mosconi e da vespe ch'eran ivi.
Inferno;III;​67-69;Elle rigavan lor di sangue il volto, che, mischiato di lagrime, a' lor piedi da fastidiosi vermi era ricolto.
Inferno;III;​70-71;"E poi ch'a riguardar oltre mi diedi, vidi genti a la riva d'un gran fiume;"
Inferno;III;​72;per ch'io dissi:
Inferno;III;​72-75;"""Maestro, or mi concedi ch'i' sappia quali sono, e qual costume le fa di trapassar parer sì pronte, com'i' discerno per lo fioco lume""."
Inferno;III;​34;Ed elli a me:
Inferno;III;​76-78;"""Le cose ti fier conte quando noi fermerem li nostri passi su la trista riviera d'Acheronte""."
Inferno;III;​79-81;Allor con li occhi vergognosi e bassi, temendo no 'l mio dir li fosse grave, infino al fiume del parlar mi trassi.
Inferno;III;​82-84;Ed ecco verso noi venir per nave un vecchio, bianco per antico pelo, gridando:
Inferno;III;​84;"""Guai a voi, anime prave!"
Inferno;III;​85;Non isperate mai veder lo cielo:
Inferno;III;​86-87;i' vegno per menarvi a l'altra riva ne le tenebre etterne, in caldo e 'n gelo.
Inferno;III;​88-89;"E tu che se' costì, anima viva, pàrtiti da cotesti che son morti""."
Inferno;III;​90-91;Ma poi che vide ch'io non mi partiva, disse:
Inferno;III;​91-92;"""Per altra via, per altri porti verrai a piaggia, non qui, per passare:"
Inferno;III;​93;"più lieve legno convien che ti porti""."
Inferno;III;​94;E 'l duca lui:
Inferno;III;​94;"""Caron, non ti crucciare:"
Inferno;III;​95-96;"vuolsi così colà dove si puote ciò che si vuole, e più non dimandare""."
Inferno;III;​97-99;Quinci fuor quete le lanose gote al nocchier de la livida palude, che 'ntorno a li occhi avea di fiamme rote.
Inferno;III;​100-102;Ma quell'anime, ch'eran lasse e nude, cangiar colore e dibattero i denti, ratto che 'nteser le parole crude.
Inferno;III;​103-105;Bestemmiavano Dio e lor parenti, l'umana spezie e 'l loco e 'l tempo e 'l seme di lor semenza e di lor nascimenti.
Inferno;III;​106-108;Poi si ritrasser tutte quante insieme, forte piangendo, a la riva malvagia ch'attende ciascun uom che Dio non teme.
Inferno;III;​109-110;Caron dimonio, con occhi di bragia loro accennando, tutte le raccoglie
Inferno;III;​110-111;"; batte col remo qualunque s'adagia."
Inferno;III;​112-117;Come d'autunno si levan le foglie l'una appresso de l'altra, fin che 'l ramo vede a la terra tutte le sue spoglie, similemente il mal seme d'Adamo gittansi di quel lito ad una ad una, per cenni come augel per suo richiamo.
Inferno;III;​118-120;Così sen vanno su per l'onda bruna, e avanti che sien di là discese, anche di qua nuova schiera s'auna.
Inferno;III;​121-123;"""Figliuol mio"", disse 'l maestro cortese, ""quelli che muoion ne l'ira di Dio tutti convegnon qui d'ogne paese;"
Inferno;III;​124-126;e pronti sono a trapassar lo rio, ché la divina giustizia li sprona, sì che la tema si volve in disio.
Inferno;III;​127;"Quinci non passa mai anima buona;"
Inferno;III;​128-129;"e però, se Caron di te si lagna, ben puoi sapere omai che 'l suo dir suona""."
Inferno;III;​130-132;Finito questo, la buia campagna tremò si forte, che de lo spavento la mente di sudore ancor mi bagna.
Inferno;III;​133-135;"La terra lagrimosa diede vento, che balenò una luce vermiglia la qual mi vinse ciascun sentimento;"
Inferno;III;​136;e caddi come l'uom cui sonno piglia.
Inferno;IV;​1-3;"Ruppemi l'alto sonno ne la testa un greve truono, sì ch'io mi riscossi come persona ch'è per forza desta;"
Inferno;IV;​4-6;e l'occhio riposato intorno mossi, dritto levato, e fiso riguardai per conoscer lo loco dov'io fossi.
Inferno;IV;​7-9;Vero è che 'n su la proda mi trovai de la valle d'abisso dolorosa che 'ntrono accoglie d'infiniti guai.
Inferno;IV;​10-12;Oscura e profonda era e nebulosa tanto che, per ficcar lo viso a fondo, io non vi discernea alcuna cosa.
Inferno;IV;​13-14;"""Or discendiam qua giù nel cieco mondo"", cominciò il poeta tutto smorto."
Inferno;IV;​15;"""Io sarò primo, e tu sarai secondo""."
Inferno;IV;​16-17;E io, che del color mi fui accorto, dissi:
Inferno;IV;​17-18;"""Come verrò, se tu paventi che suoli al mio dubbiare esser conforto?""."
Inferno;IV;​19;Ed elli a me:
Inferno;IV;​19-21;"""L'angoscia de le genti che son qua giù, nel viso mi dipigne quella pietà che tu per tema senti."
Inferno;IV;​22;"Andiam, ché la via lunga ne sospigne""."
Inferno;IV;​23-24;Così si mise e così mi fé intrare nel primo cerchio che l'abisso cigne.
Inferno;IV;​25-27;"Quivi, secondo che per ascoltare, non avea pianto mai che di sospiri che l'aura etterna facevan tremare;"
Inferno;IV;​28-30;ciò avvenia di duol sanza martìri, ch'avean le turbe, ch'eran molte e grandi, d'infanti e di femmine e di viri.
Inferno;IV;​31;Lo buon maestro a me:
Inferno;IV;​31-32;"""Tu non dimandi che spiriti son questi che tu vedi?"
Inferno;IV;​33-34;"Or vo' che sappi, innanzi che più andi, ch'ei non peccaro;"
Inferno;IV;​34-36;"e s'elli hanno mercedi, non basta, perché non ebber battesmo, ch'è porta de la fede che tu credi;"
Inferno;IV;​37-38;e s'e' furon dinanzi al cristianesmo, non adorar debitamente a Dio:
Inferno;IV;​39;e di questi cotai son io medesmo.
Inferno;IV;​40-42;"Per tai difetti, non per altro rio, semo perduti, e sol di tanto offesi che sanza speme vivemo in disio""."
Inferno;IV;​43-45;Gran duol mi prese al cor quando lo 'ntesi, però che gente di molto valore conobbi che 'n quel limbo eran sospesi.
Inferno;IV;​46-48;"""Dimmi, maestro mio, dimmi, segnore"", comincia' io per voler esser certo di quella fede che vince ogne errore:"
Inferno;IV;​49-50;"""uscicci mai alcuno, o per suo merto o per altrui, che poi fosse beato?""."
Inferno;IV;​51-52;E quei che 'ntese il mio parlar coverto, rispuose:
Inferno;IV;​52-54;"""Io era nuovo in questo stato, quando ci vidi venire un possente, con segno di vittoria coronato."
Inferno;IV;​55-57;"Trasseci l'ombra del primo parente, d'Abèl suo figlio e quella di Noè, di Moïsè legista e ubidente;"
Inferno;IV;​58-61;Abraàm patrïarca e Davìd re, Israèl con lo padre e co' suoi nati e con Rachele, per cui tanto fé, e altri molti, e feceli beati.
Inferno;IV;​62-63;"E vo' che sappi che, dinanzi ad essi, spiriti umani non eran salvati""."
Inferno;IV;​64-66;Non lasciavam l'andar perch'ei dicessi, ma passavam la selva tuttavia, la selva, dico, di spiriti spessi.
Inferno;IV;​67-69;Non era lunga ancor la nostra via di qua dal sonno, quand'io vidi un foco ch'emisperio di tenebre vincia.
Inferno;IV;​70-72;Di lungi n'eravamo ancora un poco, ma non sì ch'io non discernessi in parte ch'orrevol gente possedea quel loco.
Inferno;IV;​73-75;"""O tu ch'onori scïenzïa e arte, questi chi son c'hanno cotanta onranza, che dal modo de li altri li diparte?""."
Inferno;IV;​76;E quelli a me:
Inferno;IV;​76-78;"""L'onrata nominanza che di lor suona sù ne la tua vita, grazïa acquista in ciel che sì li avanza""."
Inferno;IV;​79;Intanto voce fu per me udita:
Inferno;IV;​80;"""Onorate l'altissimo poeta;"
Inferno;IV;​81;"l'ombra sua torna, ch'era dipartita""."
Inferno;IV;​82-83;Poi che la voce fu restata e queta, vidi quattro grand'ombre a noi venire:
Inferno;IV;​84;sembianz'avevan né trista né lieta.
Inferno;IV;​85;Lo buon maestro cominciò a dire:
Inferno;IV;​86-87;"""Mira colui con quella spada in mano, che vien dinanzi ai tre sì come sire:"
Inferno;IV;​88;"quelli è Omero poeta sovrano;"
Inferno;IV;​89;"l'altro è Orazio satiro che vene;"
Inferno;IV;​90;Ovidio è 'l terzo, e l'ultimo Lucano.
Inferno;IV;​91-93;"Però che ciascun meco si convene nel nome che sonò la voce sola, fannomi onore, e di ciò fanno bene""."
Inferno;IV;​94-96;Così vid'i' adunar la bella scola di quel segnor de l'altissimo canto che sovra li altri com'aquila vola.
Inferno;IV;​97-99;"Da ch'ebber ragionato insieme alquanto, volsersi a me con salutevol cenno, e 'l mio maestro sorrise di tanto;"
Inferno;IV;​100-102;e più d'onore ancora assai mi fenno, ch'e' sì mi fecer de la loro schiera, sì ch'io fui sesto tra cotanto senno.
Inferno;IV;​103-105;Così andammo infino a la lumera, parlando cose che 'l tacere è bello, sì com'era 'l parlar colà dov'era.
Inferno;IV;​106-108;Venimmo al piè d'un nobile castello, sette volte cerchiato d'alte mura, difeso intorno d'un bel fiumicello.
Inferno;IV;​109;"Questo passammo come terra dura;"
Inferno;IV;​110;per sette porte intrai con questi savi:
Inferno;IV;​111;giugnemmo in prato di fresca verdura.
Inferno;IV;​112-113;Genti v'eran con occhi tardi e gravi, di grande autorità ne' lor sembianti:
Inferno;IV;​114;parlavan rado, con voci soavi.
Inferno;IV;​115-117;Traemmoci così da l'un de' canti, in loco aperto, luminoso e alto, sì che veder si potien tutti quanti.
Inferno;IV;​118-120;Colà diritto, sovra 'l verde smalto, mi fuor mostrati li spiriti magni, che del vedere in me stesso m'essalto.
Inferno;IV;​121-123;I' vidi Eletra con molti compagni, tra ' quai conobbi Ettòr ed Enea, Cesare armato con li occhi grifagni.
Inferno;IV;​124;"Vidi Cammilla e la Pantasilea;"
Inferno;IV;​125-126;da l'altra parte, vidi 'l re Latino che con Lavina sua figlia sedea.
Inferno;IV;​127-128;"Vidi quel Bruto che cacciò Tarquino, Lucrezia, Iulia, Marzïa e Corniglia;"
Inferno;IV;​129;e solo, in parte, vidi 'l Saladino.
Inferno;IV;​130-132;Poi ch'innalzai un poco più le ciglia, vidi 'l maestro di color che sanno seder tra filosofica famiglia.
Inferno;IV;​133;Tutti lo miran, tutti onor li fanno:
Inferno;IV;​134-135;"quivi vid'ïo Socrate e Platone, che 'nnanzi a li altri più presso li stanno;"
Inferno;IV;​136-138;"Democrito, che 'l mondo a caso pone, Dïogenès, Anassagora e Tale, Empedoclès, Eraclito e Zenone;"
Inferno;IV;​139-140;"e vidi il buono accoglitor del quale, Dïascoride dico;"
Inferno;IV;​140-141;"e vidi Orfeo, Tulïo e Lino e Seneca morale;"
Inferno;IV;​142-144;Euclide geomètra e Tolomeo, Ipocràte, Avicenna e Galïeno, Averoìs, che 'l gran comento feo.
Inferno;IV;​145-147;Io non posso ritrar di tutti a pieno, però che sì mi caccia il lungo tema, che molte volte al fatto il dir vien meno.
Inferno;IV;​148;La sesta compagnia in due si scema:
Inferno;IV;​149-150;per altra via mi mena il savio duca, fuor de la queta, ne l'aura che trema.
Inferno;IV;​151;E vegno in parte ove non è che luca.
Inferno;V;​1-3;Così discesi del cerchio primaio giù nel secondo, che men loco cinghia e tanto più dolor, che punge a guaio.
Inferno;V;​4;Stavvi Minòs orribilmente, e ringhia:
Inferno;V;​5;"essamina le colpe ne l'intrata;"
Inferno;V;​6;giudica e manda secondo ch'avvinghia.
Inferno;V;​7-8;"Dico che quando l'anima mal nata li vien dinanzi, tutta si confessa;"
Inferno;V;​9-10;"e quel conoscitor de le peccata vede qual loco d'inferno è da essa;"
Inferno;V;​11-12;cignesi con la coda tante volte quantunque gradi vuol che giù sia messa.
Inferno;V;​13;Sempre dinanzi a lui ne stanno molte:
Inferno;V;​14-15;vanno a vicenda ciascuna al giudizio, dicono e odono e poi son giù volte.
Inferno;V;​16-19;"""O tu che vieni al doloroso ospizio"", disse Minòs a me quando mi vide, lasciando l'atto di cotanto offizio, ""guarda com'entri e di cui tu ti fide;"
Inferno;V;​20;"non t'inganni l'ampiezza de l'intrare!""."
Inferno;V;​21;E 'l duca mio a lui:
Inferno;V;​21;"""Perché pur gride?"
Inferno;V;​22;Non impedir lo suo fatale andare:
Inferno;V;​23-24;"vuolsi così colà dove si puote ciò che si vuole, e più non dimandare""."
Inferno;V;​25-26;"Or incomincian le dolenti note a farmisi sentire;"
Inferno;V;​26-27;or son venuto là dove molto pianto mi percuote.
Inferno;V;​28-30;Io venni in loco d'ogne luce muto, che mugghia come fa mar per tempesta, se da contrari venti è combattuto.
Inferno;V;​31-32;"La bufera infernal, che mai non resta, mena li spirti con la sua rapina;"
Inferno;V;​33;voltando e percotendo li molesta.
Inferno;V;​34-35;"Quando giungon davanti a la ruina, quivi le strida, il compianto, il lamento;"
Inferno;V;​36;bestemmian quivi la virtù divina.
Inferno;V;​37-39;Intesi ch'a così fatto tormento enno dannati i peccator carnali, che la ragion sommettono al talento.
Inferno;V;​40-43;"E come li stornei ne portan l'ali nel freddo tempo, a schiera larga e piena, così quel fiato li spiriti mali di qua, di là, di giù, di sù li mena;"
Inferno;V;​44-45;nulla speranza li conforta mai, non che di posa, ma di minor pena.
