cantica;canto;range_versi;terzina
Inferno;I;61_63;Mentre ch'i' rovinava in basso loco, dinanzi a li occhi mi si fu offerto chi per lungo silenzio parea fioco.
Inferno;I;64_66;"Quando vidi costui nel gran diserto, "" ""qual che tu sii, od ombra od omo certo!""."
Inferno;I;67_69;"Rispuosemi: ""Non omo, omo già fui, e li parenti miei furon lombardi, mantoani per patrïa ambedui."
Inferno;I;70_72;Nacqui e vissi a Roma sotto 'l buono Augusto nel tempo de li dèi falsi e bugiardi.
Inferno;I;73_75;Poeta fui, e cantai di quel giusto figliuol d'Anchise che venne di Troia, poi che 'l superbo Ilïón fu combusto.
Inferno;I;76_78;"Ma tu perché ritorni a tanta noia? perché non sali il dilettoso monte ch'è principio e cagion di tutta gioia?""."
Inferno;I;79_81;"""Or se' tu quel Virgilio e quella fonte che spandi di parlar sì largo fiume?"", rispuos'io lui con vergognosa fronte."
Inferno;I;82_84;"""O de li altri poeti onore e lume, vagliami 'l lungo studio e 'l grande amore che m'ha fatto cercar lo tuo volume."
Inferno;I;85_87;Tu se' lo mio maestro e 'l mio autore, tu se' solo colui da cu' io tolsi lo bello stilo che m'ha fatto onore.
Inferno;I;88_90;"Vedi la bestia per cu' io mi volsi; aiutami da lei, famoso saggio, ch'ella mi fa tremar le vene e i polsi""."
Inferno;I;91_93;"""A te convien tenere altro vïaggio"", rispuose, poi che lagrimar mi vide, ""se vuo' campar d'esto loco selvaggio;"
Inferno;I;94_96;"ché questa bestia, per la qual tu gride, non lascia altrui passar per la sua via, ma tanto lo 'mpedisce che l'uccide;"
Inferno;I;97_99;e ha natura sì malvagia e ria, che mai non empie la bramosa voglia, e dopo 'l pasto ha più fame che pria.
Inferno;I;100_102;Molti son li animali a cui s'ammoglia, e più saranno ancora, infin che 'l veltro verrà, che la farà morir con doglia.
Inferno;I;103_105;Questi non ciberà terra né peltro, ma sapïenza, amore e virtute, e sua nazion sarà tra feltro e feltro.
Inferno;I;106_108;Di quella umile Italia fia salute per cui morì la vergine Cammilla, Eurialo e Turno e Niso di ferute.
Inferno;I;109_111;Questi la caccerà per ogne villa, fin che l'avrà rimessa ne lo 'nferno, là onde 'nvidia prima dipartilla.
Inferno;I;112_114;"Ond'io per lo tuo me' penso e discerno che tu mi segui, e io sarò tua guida, e trarrotti di qui per loco etterno;"
Inferno;I;115_117;"ove udirai le disperate strida, vedrai li antichi spiriti dolenti, ch'a la seconda morte ciascun grida;"
Inferno;I;118_120;e vederai color che son contenti nel foco, perché speran di venire quando che sia a le beate genti.
Inferno;I;121_123;"A le quai poi se tu vorrai salire, anima fia a ciò più di me degna: con lei ti lascerò nel mio partire;"
Inferno;I;124_126;ché quello imperador che là sù regna, perch'i' fu' ribellante a la sua legge, non vuol che 'n sua città per me si vegna.
Inferno;I;127_129;"In tutte parti impera e quivi regge; quivi è la sua città e l'alto seggio: oh felice colui cu' ivi elegge!""."
Inferno;I;130_132;"E io a lui: ""Poeta, io ti richeggio per quello Dio che tu non conoscesti, acciò ch'io fugga questo male e peggio,"
Inferno;I;133_135;"che tu mi meni là dov'or dicesti, sì ch'io veggia la porta di san Pietro e color cui tu fai cotanto mesti""."
Inferno;I;136;Allor si mosse, e io li tenni dietro.
Inferno;II;1_3;"Lo giorno se n'andava, e l'aere bruno toglieva li animai che sono in terra da le fatiche loro; e io sol uno"
Inferno;II;4_6;m'apparecchiava a sostener la guerra sì del cammino e sì de la pietate, che ritrarrà la mente che non erra.
Inferno;II;7_9;"O muse, o alto ingegno, or m'aiutate; o mente che scrivesti ciò ch'io vidi, qui si parrà la tua nobilitate."
Inferno;II;10_12;"Io cominciai: ""Poeta che mi guidi, guarda la mia virtù s'ell'è possente, prima ch'a l'alto passo tu mi fidi."
Inferno;II;13_15;Tu dici che di Silvïo il parente, corruttibile ancora, ad immortale secolo andò, e fu sensibilmente.
Inferno;II;16_18;Però, se l'avversario d'ogne male cortese i fu, pensando l'alto effetto ch'uscir dovea di lui, e 'l chi e 'l quale
Inferno;II;19_21;"non pare indegno ad omo d'intelletto; ch'e' fu de l'alma Roma e di suo impero ne l'empireo ciel per padre eletto:"
Inferno;II;22_24;la quale e 'l quale, a voler dir lo vero, fu stabilita per lo loco santo u' siede il successor del maggior Piero.
Inferno;II;25_27;Per quest'andata onde li dai tu vanto, intese cose che furon cagione di sua vittoria e del papale ammanto.
Inferno;II;28_30;Andovvi poi lo Vas d'elezïone, per recarne conforto a quella fede ch'è principio a la via di salvazione.
Inferno;II;31_33;"Ma io, perché venirvi? o chi 'l concede? Io non Enëa, io non Paulo sono; me degno a ciò né io né altri 'l crede."
Inferno;II;34_36;"Per che, se del venire io m'abbandono, temo che la venuta non sia folle. Se' savio; intendi me' ch'i' non ragiono""."
Inferno;II;37_39;E qual è quei che disvuol ciò che volle e per novi pensier cangia proposta, sì che dal cominciar tutto si tolle,
Inferno;II;40_42;tal mi fec'ïo 'n quella oscura costa, perché, pensando, consumai la 'mpresa che fu nel cominciar cotanto tosta.
Inferno;II;43_45;"""S'i' ho ben la parola tua intesa"", rispuose del magnanimo quell'ombra, ""l'anima tua è da viltade offesa;"
Inferno;II;46_48;la qual molte fïate l'omo ingombra sì che d'onrata impresa lo rivolve, come falso veder bestia quand'ombra.
Inferno;II;49_51;Da questa tema acciò che tu ti solve, dirotti perch'io venni e quel ch'io 'ntesi nel primo punto che di te mi dolve.
Inferno;II;52_54;Io era tra color che son sospesi, e donna mi chiamò beata e bella, tal che di comandare io la richiesi.
Inferno;II;55_57;"Lucevan li occhi suoi più che la stella; e cominciommi a dir soave e piana, con angelica voce, in sua favella:"
Inferno;II;58_60;"""O anima cortese mantoana, di cui la fama ancor nel mondo dura, e durerà quanto 'l mondo lontana,"
Inferno;II;61_63;"l'amico mio, e non de la ventura, ne la diserta piaggia è impedito sì nel cammin, che vòlt'è per paura;"
Inferno;II;64_66;e temo che non sia già sì smarrito, ch'io mi sia tardi al soccorso levata, per quel ch'i' ho di lui nel cielo udito.
Inferno;II;67_69;Or movi, e con la tua parola ornata e con ciò c'ha mestieri al suo campare, l'aiuta sì ch'i' ne sia consolata.
Inferno;II;70_72;"I' son Beatrice che ti faccio andare; vegno del loco ove tornar disio; amor mi mosse, che mi fa parlare."
Inferno;II;73_75;"Quando sarò dinanzi al segnor mio, di te mi loderò sovente a lui"". Tacette allora, e poi comincia' io:"
Inferno;II;76_78;"""O donna di virtù, sola per cui l'umana spezie eccede ogne contento di quel ciel c'ha minor li cerchi sui,"
Inferno;II;79_81;"tanto m'aggrada il tuo comandamento, che l'ubidir, se già fosse, m'è tardi; più non t'è uo' ch'aprirmi il tuo talento."
Inferno;II;82_84;"Ma dimmi la cagion che non ti guardi de lo scender qua giuso in questo centro de l'ampio loco ove tornar tu ardi""."
Inferno;II;85_87;"""Da che tu vuo' saver cotanto a dentro, dirotti brievemente"", mi rispuose, ""perch'i' non temo di venir qua entro."
Inferno;II;88_90;"Temer si dee di sole quelle cose c'hanno potenza di fare altrui male; de l'altre no, ché non son paurose."
Inferno;II;91_93;I' son fatta da Dio, sua mercé, tale, che la vostra miseria non mi tange, né fiamma d'esto 'ncendio non m'assale.
Inferno;II;94_96;Donna è gentil nel ciel che si compiange di questo 'mpedimento ov'io ti mando, sì che duro giudicio là sù frange.
Inferno;II;97_99;Questa chiese Lucia in suo dimando e disse: - Or ha bisogno il tuo fedele di te, e io a te lo raccomando -.
Inferno;II;100_102;Lucia, nimica di ciascun crudele, si mosse, e venne al loco dov'i' era, che mi sedea con l'antica Rachele.
Inferno;II;103_105;Disse: - Beatrice, loda di Dio vera, ché non soccorri quei che t'amò tanto, ch'uscì per te de la volgare schiera?
Inferno;II;106_108;Non odi tu la pieta del suo pianto, non vedi tu la morte che 'l combatte su la fiumana ove 'l mar non ha vanto? -
Inferno;II;109_111;Al mondo non fur mai persone ratte a far lor pro o a fuggir lor danno, com'io, dopo cotai parole fatte,
Inferno;II;112_114;"venni qua giù del mio beato scanno, fidandomi del tuo parlare onesto, ch'onora te e quei ch'udito l'hanno""."
Inferno;II;115_117;Poscia che m'ebbe ragionato questo, li occhi lucenti lagrimando volse, per che mi fece del venir più presto.
Inferno;II;118_120;E venni a te così com'ella volse: d'inanzi a quella fiera ti levai che del bel monte il corto andar ti tolse.
Inferno;II;121_123;Dunque: che è? perché, perché restai, perché tanta viltà nel core allette, perché ardire e franchezza non hai,
Inferno;II;124_126;"poscia che tai tre donne benedette curan di te ne la corte del cielo, e 'l mio parlar tanto ben ti promette?""."
Inferno;II;127_129;Quali fioretti dal notturno gelo chinati e chiusi, poi che 'l sol li 'mbianca, si drizzan tutti aperti in loro stelo,
Inferno;II;130_132;tal mi fec'io di mia virtude stanca, e tanto buono ardire al cor mi corse, ch'i' cominciai come persona franca:
Inferno;II;133_135;"""Oh pietosa colei che mi soccorse! e te cortese ch'ubidisti tosto a le vere parole che ti porse!"
Inferno;II;136_138;Tu m'hai con disiderio il cor disposto sì al venir con le parole tue, ch'i' son tornato nel primo proposto.
Inferno;II;139_141;"Or va, ch'un sol volere è d'ambedue: tu duca, tu segnore e tu maestro"". Così li dissi; e poi che mosso fue,"
Inferno;II;142;intrai per lo cammino alto e silvestro.
Inferno;III;1_3;"""Per me si va ne la città dolente, per me si va ne l'etterno dolore, per me si va tra la perduta gente."
Inferno;III;4_6;"Giustizia mosse il mio alto fattore; fecemi la divina podestate, la somma sapïenza e 'l primo amore."
Inferno;III;7_9;"Dinanzi a me non fuor cose create se non etterne, e io etterno duro. Lasciate ogne speranza, voi ch'intrate""."
Inferno;III;10_12;"Queste parole di colore oscuro vid'ïo scritte al sommo di una porta; per ch'io: ""Maestro, il senso lor m'è duro""."
Inferno;III;13_15;"Ed elli a me, come persona accorta: ""Qui si convien lasciare ogne sospetto; ogne viltà convien che qui sia morta."
Inferno;III;16_18;"Noi siam venuti al loco ov'i' t'ho detto che tu vedrai le genti dolorose c'hanno perduto il ben de l'intelletto""."
Inferno;III;19_21;E poi che la sua mano a la mia puose con lieto volto, ond'io mi confortai, mi mise dentro a le segrete cose.
Inferno;III;22_24;Quivi sospiri, pianti e alti guai risonavan per l'aere sanza stelle, per ch'io al cominciar ne lagrimai.
Inferno;III;25_27;Diverse lingue, orribili favelle, parole di dolore, accenti d'ira, voci alte e fioche, e suon di man con elle
Inferno;III;28_30;facevano un tumulto, il qual s'aggira sempre in quell'aura sanza tempo tinta, come la rena quando turbo spira.
Inferno;III;31_33;"E io ch'avea d'error la testa cinta, dissi: ""Maestro, che è quel ch'i' odo? e che gent'è che par nel duol sì vinta?""."
Inferno;III;34_36;"Ed elli a me: ""Questo misero modo tegnon l'anime triste di coloro che visser sanza 'nfamia e sanza lodo."
Inferno;III;37_39;Mischiate sono a quel cattivo coro de li angeli che non furon ribelli né fur fedeli a Dio, ma per sé fuoro.
Inferno;III;40_42;"Caccianli i ciel per non esser men belli, né lo profondo inferno li riceve, ch'alcuna gloria i rei avrebber d'elli""."
Inferno;III;43_45;"E io: ""Maestro, che è tanto greve a lor che lamentar li fa sì forte?"". Rispuose: ""Dicerolti molto breve."
Inferno;III;46_48;Questi non hanno speranza di morte, e la lor cieca vita è tanto bassa, che 'nvidïosi son d'ogne altra sorte.
Inferno;III;49_51;"Fama di loro il mondo esser non lassa; misericordia e giustizia li sdegna: non ragioniam di lor, ma guarda e passa""."
Inferno;III;52_54;"E io, che riguardai, vidi una 'nsegna che girando correva tanto ratta, che d'ogne posa mi parea indegna;"
Inferno;III;55_57;e dietro le venìa sì lunga tratta di gente, ch'i' non averei creduto che morte tanta n'avesse disfatta.
Inferno;III;58_60;Poscia ch'io v'ebbi alcun riconosciuto, vidi e conobbi l'ombra di colui che fece per viltade il gran rifiuto.
Inferno;III;61_63;Incontanente intesi e certo fui che questa era la setta d'i cattivi, a Dio spiacenti e a' nemici sui.
Inferno;III;64_66;Questi sciaurati, che mai non fur vivi, erano ignudi e stimolati molto da mosconi e da vespe ch'eran ivi.
Inferno;III;67_69;Elle rigavan lor di sangue il volto, che, mischiato di lagrime, a' lor piedi da fastidiosi vermi era ricolto.
Inferno;III;70_72;"E poi ch'a riguardar oltre mi diedi, vidi genti a la riva d'un gran fiume; per ch'io dissi: ""Maestro, or mi concedi"
Inferno;III;73_75;"ch'i' sappia quali sono, e qual costume le fa di trapassar parer sì pronte, com'i' discerno per lo fioco lume""."
Inferno;III;76_78;"Ed elli a me: ""Le cose ti fier conte quando noi fermerem li nostri passi su la trista riviera d'Acheronte""."
Inferno;III;79_81;Allor con li occhi vergognosi e bassi, temendo no 'l mio dir li fosse grave, infino al fiume del parlar mi trassi.
Inferno;III;82_84;"Ed ecco verso noi venir per nave un vecchio, bianco per antico pelo, gridando: ""Guai a voi, anime prave!"
Inferno;III;85_87;Non isperate mai veder lo cielo: i' vegno per menarvi a l'altra riva ne le tenebre etterne, in caldo e 'n gelo.
Inferno;III;88_90;"E tu che se' costì, anima viva, pàrtiti da cotesti che son morti"". Ma poi che vide ch'io non mi partiva,"
Inferno;III;91_93;"disse: ""Per altra via, per altri porti verrai a piaggia, non qui, per passare: più lieve legno convien che ti porti""."
Inferno;III;94_96;"E 'l duca lui: ""Caron, non ti crucciare: vuolsi così colà dove si puote ciò che si vuole, e più non dimandare""."
Inferno;III;97_99;Quinci fuor quete le lanose gote al nocchier de la livida palude, che 'ntorno a li occhi avea di fiamme rote.
Inferno;III;100_102;Ma quell'anime, ch'eran lasse e nude, cangiar colore e dibattero i denti, ratto che 'nteser le parole crude.
Inferno;III;103_105;Bestemmiavano Dio e lor parenti, l'umana spezie e 'l loco e 'l tempo e 'l seme di lor semenza e di lor nascimenti.
Inferno;III;106_108;Poi si ritrasser tutte quante insieme, forte piangendo, a la riva malvagia ch'attende ciascun uom che Dio non teme.
Inferno;III;109_111;"Caron dimonio, con occhi di bragia loro accennando, tutte le raccoglie; batte col remo qualunque s'adagia."
Inferno;III;112_114;Come d'autunno si levan le foglie l'una appresso de l'altra, fin che 'l ramo vede a la terra tutte le sue spoglie,
Inferno;III;115_117;similemente il mal seme d'Adamo gittansi di quel lito ad una ad una, per cenni come augel per suo richiamo.
Inferno;III;118_120;Così sen vanno su per l'onda bruna, e avanti che sien di là discese, anche di qua nuova schiera s'auna.
Inferno;III;121_123;"""Figliuol mio"", disse 'l maestro cortese, ""quelli che muoion ne l'ira di Dio tutti convegnon qui d'ogne paese;"
Inferno;III;124_126;e pronti sono a trapassar lo rio, ché la divina giustizia li sprona, sì che la tema si volve in disio.
Inferno;III;127_129;"Quinci non passa mai anima buona; e però, se Caron di te si lagna, ben puoi sapere omai che 'l suo dir suona""."
Inferno;III;130_132;Finito questo, la buia campagna tremò si forte, che de lo spavento la mente di sudore ancor mi bagna.
Inferno;III;133_135;"La terra lagrimosa diede vento, che balenò una luce vermiglia la qual mi vinse ciascun sentimento;"
Inferno;III;136;e caddi come l'uom cui sonno piglia.
Inferno;IV;1_3;"Ruppemi l'alto sonno ne la testa un greve truono, sì ch'io mi riscossi come persona ch'è per forza desta;"
Inferno;IV;4_6;e l'occhio riposato intorno mossi, dritto levato, e fiso riguardai per conoscer lo loco dov'io fossi.
Inferno;IV;7_9;Vero è che 'n su la proda mi trovai de la valle d'abisso dolorosa che 'ntrono accoglie d'infiniti guai.
Inferno;IV;10_12;Oscura e profonda era e nebulosa tanto che, per ficcar lo viso a fondo, io non vi discernea alcuna cosa.
Inferno;IV;13_15;"""Or discendiam qua giù nel cieco mondo"", cominciò il poeta tutto smorto. ""Io sarò primo, e tu sarai secondo""."
Inferno;IV;16_18;"E io, che del color mi fui accorto, dissi: ""Come verrò, se tu paventi che suoli al mio dubbiare esser conforto?""."
Inferno;IV;19_21;"Ed elli a me: ""L'angoscia de le genti che son qua giù, nel viso mi dipigne quella pietà che tu per tema senti."
Inferno;IV;22_24;"Andiam, ché la via lunga ne sospigne"". Così si mise e così mi fé intrare nel primo cerchio che l'abisso cigne."
Inferno;IV;25_27;"Quivi, secondo che per ascoltare, non avea pianto mai che di sospiri che l'aura etterna facevan tremare;"
Inferno;IV;28_30;ciò avvenia di duol sanza martìri, ch'avean le turbe, ch'eran molte e grandi, d'infanti e di femmine e di viri.
Inferno;IV;31_33;"Lo buon maestro a me: ""Tu non dimandi che spiriti son questi che tu vedi? Or vo' che sappi, innanzi che più andi,"
Inferno;IV;34_36;"ch'ei non peccaro; e s'elli hanno mercedi, non basta, perché non ebber battesmo, ch'è porta de la fede che tu credi;"
Inferno;IV;37_39;e s'e' furon dinanzi al cristianesmo, non adorar debitamente a Dio: e di questi cotai son io medesmo.
Inferno;IV;40_42;"Per tai difetti, non per altro rio, semo perduti, e sol di tanto offesi che sanza speme vivemo in disio""."
Inferno;IV;43_45;Gran duol mi prese al cor quando lo 'ntesi, però che gente di molto valore conobbi che 'n quel limbo eran sospesi.
Inferno;IV;46_48;"""Dimmi, maestro mio, dimmi, segnore"", comincia' io per voler esser certo di quella fede che vince ogne errore:"
Inferno;IV;49_51;"""uscicci mai alcuno, o per suo merto o per altrui, che poi fosse beato?"". E quei che 'ntese il mio parlar coverto,"
Inferno;IV;52_54;"rispuose: ""Io era nuovo in questo stato, quando ci vidi venire un possente, con segno di vittoria coronato."
Inferno;IV;55_57;"Trasseci l'ombra del primo parente, d'Abèl suo figlio e quella di Noè, di Moïsè legista e ubidente;"
Inferno;IV;58_60;Abraàm patrïarca e Davìd re, Israèl con lo padre e co' suoi nati e con Rachele, per cui tanto fé,
Inferno;IV;61_63;"e altri molti, e feceli beati. E vo' che sappi che, dinanzi ad essi, spiriti umani non eran salvati""."
Inferno;IV;64_66;Non lasciavam l'andar perch'ei dicessi, ma passavam la selva tuttavia, la selva, dico, di spiriti spessi.
Inferno;IV;67_69;Non era lunga ancor la nostra via di qua dal sonno, quand'io vidi un foco ch'emisperio di tenebre vincia.
Inferno;IV;70_72;Di lungi n'eravamo ancora un poco, ma non sì ch'io non discernessi in parte ch'orrevol gente possedea quel loco.
Inferno;IV;73_75;"""O tu ch'onori scïenzïa e arte, questi chi son c'hanno cotanta onranza, che dal modo de li altri li diparte?""."
Inferno;IV;76_78;"E quelli a me: ""L'onrata nominanza che di lor suona sù ne la tua vita, grazïa acquista in ciel che sì li avanza""."
Inferno;IV;79_81;"Intanto voce fu per me udita: ""Onorate l'altissimo poeta; l'ombra sua torna, ch'era dipartita""."
Inferno;IV;82_84;Poi che la voce fu restata e queta, vidi quattro grand'ombre a noi venire: sembianz'avevan né trista né lieta.
Inferno;IV;85_87;"Lo buon maestro cominciò a dire: ""Mira colui con quella spada in mano, che vien dinanzi ai tre sì come sire:"
Inferno;IV;88_90;"quelli è Omero poeta sovrano; l'altro è Orazio satiro che vene; Ovidio è 'l terzo, e l'ultimo Lucano."
Inferno;IV;91_93;"Però che ciascun meco si convene nel nome che sonò la voce sola, fannomi onore, e di ciò fanno bene""."
Inferno;IV;94_96;Così vid'i' adunar la bella scola di quel segnor de l'altissimo canto che sovra li altri com'aquila vola.
Inferno;IV;97_99;"Da ch'ebber ragionato insieme alquanto, volsersi a me con salutevol cenno, e 'l mio maestro sorrise di tanto;"
Inferno;IV;100_102;e più d'onore ancora assai mi fenno, ch'e' sì mi fecer de la loro schiera, sì ch'io fui sesto tra cotanto senno.
Inferno;IV;103_105;Così andammo infino a la lumera, parlando cose che 'l tacere è bello, sì com'era 'l parlar colà dov'era.
Inferno;IV;106_108;Venimmo al piè d'un nobile castello, sette volte cerchiato d'alte mura, difeso intorno d'un bel fiumicello.
Inferno;IV;109_111;"Questo passammo come terra dura; per sette porte intrai con questi savi: giugnemmo in prato di fresca verdura."
Inferno;IV;112_114;Genti v'eran con occhi tardi e gravi, di grande autorità ne' lor sembianti: parlavan rado, con voci soavi.
Inferno;IV;115_117;Traemmoci così da l'un de' canti, in loco aperto, luminoso e alto, sì che veder si potien tutti quanti.
Inferno;IV;118_120;Colà diritto, sovra 'l verde smalto, mi fuor mostrati li spiriti magni, che del vedere in me stesso m'essalto.
Inferno;IV;121_123;I' vidi Eletra con molti compagni, tra ' quai conobbi Ettòr ed Enea, Cesare armato con li occhi grifagni.
Inferno;IV;124_126;"Vidi Cammilla e la Pantasilea; da l'altra parte, vidi 'l re Latino che con Lavina sua figlia sedea."
Inferno;IV;127_129;"Vidi quel Bruto che cacciò Tarquino, Lucrezia, Iulia, Marzïa e Corniglia; e solo, in parte, vidi 'l Saladino."
Inferno;IV;130_132;Poi ch'innalzai un poco più le ciglia, vidi 'l maestro di color che sanno seder tra filosofica famiglia.
Inferno;IV;133_135;"Tutti lo miran, tutti onor li fanno: quivi vid'ïo Socrate e Platone, che 'nnanzi a li altri più presso li stanno;"
Inferno;IV;136_138;"Democrito, che 'l mondo a caso pone, Dïogenès, Anassagora e Tale, Empedoclès, Eraclito e Zenone;"
Inferno;IV;139_141;"e vidi il buono accoglitor del quale, Dïascoride dico; e vidi Orfeo, Tulïo e Lino e Seneca morale;"
Inferno;IV;142_144;Euclide geomètra e Tolomeo, Ipocràte, Avicenna e Galïeno, Averoìs, che 'l gran comento feo.
Inferno;IV;145_147;Io non posso ritrar di tutti a pieno, però che sì mi caccia il lungo tema, che molte volte al fatto il dir vien meno.
Inferno;IV;148_150;La sesta compagnia in due si scema: per altra via mi mena il savio duca, fuor de la queta, ne l'aura che trema.
Inferno;IV;151;E vegno in parte ove non è che luca.
Inferno;V;1_3;Così discesi del cerchio primaio giù nel secondo, che men loco cinghia e tanto più dolor, che punge a guaio.
Inferno;V;4_6;"Stavvi Minòs orribilmente, e ringhia: essamina le colpe ne l'intrata; giudica e manda secondo ch'avvinghia."
Inferno;V;7_9;"Dico che quando l'anima mal nata li vien dinanzi, tutta si confessa; e quel conoscitor de le peccata"
Inferno;V;10_12;"vede qual loco d'inferno è da essa; cignesi con la coda tante volte quantunque gradi vuol che giù sia messa."
Inferno;V;13_15;Sempre dinanzi a lui ne stanno molte: vanno a vicenda ciascuna al giudizio, dicono e odono e poi son giù volte.
Inferno;V;16_18;"""O tu che vieni al doloroso ospizio"", disse Minòs a me quando mi vide, lasciando l'atto di cotanto offizio,"
Inferno;V;19_21;"""guarda com'entri e di cui tu ti fide; non t'inganni l'ampiezza de l'intrare!"". E 'l duca mio a lui: ""Perché pur gride?"
Inferno;V;22_24;"Non impedir lo suo fatale andare: vuolsi così colà dove si puote ciò che si vuole, e più non dimandare""."
Inferno;V;25_27;"Or incomincian le dolenti note a farmisi sentire; or son venuto là dove molto pianto mi percuote."
Inferno;V;28_30;Io venni in loco d'ogne luce muto, che mugghia come fa mar per tempesta, se da contrari venti è combattuto.
Inferno;V;31_33;"La bufera infernal, che mai non resta, mena li spirti con la sua rapina; voltando e percotendo li molesta."
Inferno;V;34_36;"Quando giungon davanti a la ruina, quivi le strida, il compianto, il lamento; bestemmian quivi la virtù divina."
Inferno;V;37_39;Intesi ch'a così fatto tormento enno dannati i peccator carnali, che la ragion sommettono al talento.
Inferno;V;40_42;E come li stornei ne portan l'ali nel freddo tempo, a schiera larga e piena, così quel fiato li spiriti mali
Inferno;V;43_45;"di qua, di là, di giù, di sù li mena; nulla speranza li conforta mai, non che di posa, ma di minor pena."
Inferno;V;46_48;E come i gru van cantando lor lai, faccendo in aere di sé lunga riga, così vid'io venir, traendo guai,
Inferno;V;49_51;"ombre portate da la detta briga; per ch'i' dissi: ""Maestro, chi son quelle genti che l'aura nera sì gastiga?""."
Inferno;V;52_54;"""La prima di color di cui novelle tu vuo' saper"", mi disse quelli allotta, ""fu imperadrice di molte favelle."
Inferno;V;55_57;A vizio di lussuria fu sì rotta, che libito fé licito in sua legge, per tòrre il biasmo in che era condotta.
Inferno;V;58_60;Ell'è Semiramìs, di cui si legge che succedette a Nino e fu sua sposa: tenne la terra che 'l Soldan corregge.
Inferno;V;61_63;"L'altra è colei che s'ancise amorosa, e ruppe fede al cener di Sicheo; poi è Cleopatràs lussurïosa."
Inferno;V;64_66;Elena vedi, per cui tanto reo tempo si volse, e vedi 'l grande Achille, che con amore al fine combatteo.
Inferno;V;67_69;"Vedi Parìs, Tristano""; e più di mille ombre mostrommi e nominommi a dito, ch'amor di nostra vita dipartille."
Inferno;V;70_72;Poscia ch'io ebbi il mio dottore udito nomar le donne antiche e ' cavalieri, pietà mi giunse, e fui quasi smarrito.
Inferno;V;73_75;"I' cominciai: ""Poeta, volontieri parlerei a quei due che 'nsieme vanno, e paion sì al vento esser leggeri""."
Inferno;V;76_78;"Ed elli a me: ""Vedrai quando saranno più presso a noi; e tu allor li priega per quello amor che i mena, ed ei verranno""."
Inferno;V;79_81;"Sì tosto come il vento a noi li piega, mossi la voce: ""O anime affannate, venite a noi parlar, s'altri nol niega!""."
Inferno;V;82_84;"Quali colombe dal disio chiamate con l'ali alzate e ferme al dolce nido vegnon per l'aere dal voler portate;"
Inferno;V;85_87;cotali uscir de la schiera ov'è Dido, a noi venendo per l'aere maligno, sì forte fu l'affettüoso grido.
Inferno;V;88_90;"""O animal grazïoso e benigno che visitando vai per l'aere perso noi che tignemmo il mondo di sanguigno,"
Inferno;V;91_93;se fosse amico il re de l'universo, noi pregheremmo lui de la tua pace, poi c'hai pietà del nostro mal perverso.
Inferno;V;94_96;Di quel che udire e che parlar vi piace, noi udiremo e parleremo a voi, mentre che 'l vento, come fa, ci tace.
